-1.2041800243749998e+00,1.2612941312500001e-01,1.1289769163780645e+00,2.2702732308377371e+01,2.3999999999999999e+00
-1.1618334781249999e+00,9.9856776875000011e-02,1.0015806643838991e+00,1.4798203813595642e+01,2.4399999999999999e+00
-1.1239344906249999e+00,8.5413487499999996e-02,9.0067442882417770e-01,1.0409215444459278e+01,2.4800000000000000e+00
-1.0890708943750000e+00,7.4249369687499997e-02,8.2793201672645689e-01,7.8946333589612383e+00,2.5200000000000000e+00
-1.0575139174999999e+00,6.5868192187499994e-02,7.6018169560869764e-01,6.1336330513705510e+00,2.5600000000000001e+00
-1.0424502662499999e+00,6.3441509687500008e-02,7.2973240790021920e-01,5.5701183726660455e+00,2.5800000000000001e+00
-1.0283128543750000e+00,5.9941823437500007e-02,6.9994851349063125e-01,4.9698641393251846e+00,2.6000000000000001e+00
-1.1822030831249999e+00,1.1363682624999999e-01,1.0556634324610881e+00,1.8206596303468928e+01,2.4199999999999999e+00
-1.1420095150000000e+00,9.0180500937500005e-02,9.4958282381101666e-01,1.2052025772808534e+01,2.4600000000000000e+00
-1.1060284425000000e+00,7.9323516875000000e-02,8.6147195656871811e-01,8.9922704516888725e+00,2.5000000000000000e+00
-1.0728678250000001e+00,6.9879568749999996e-02,7.9093980958587440e-01,6.8755250610865142e+00,2.5400000000000000e+00
